Question,Hint,Answer
"Masti Ki Paathshala",Aamir Khan,Rang de Basanti
"Aal izz well",Silencer,3 Idiots
"Because every child is special",Bum bum bole masti mein dole,Taare Zameen Par
"Har dosti mein ek hadh hoti hai jo nahi paar karni chahiye",Saif Ali Khan,Dil Chahta Hai
"Mere aasuon ka swad.. mere mann ka namak hi samajh sakta hai",Shahrukh Khan,Swades
"Gore pataloon pehen ke ee khel ka cricket kahat hai ... aur hum langoti baandh ke gilli-danda",Aamir Khan,Lagaan
"Beta tumse na ho paayega",Anurag Kashyap,Gangs of wasseypur
"Khamoshi bhi pyar ki zubaan hoti hai",Ranbir Kapoor,Barfi
"Babumoshaye",Rajesh Khanna,Anand
"Aye maamu",Sanjay Dutt,Munna Bhai M.B.B.S.
"Rathore Sir jab cockroach apke ghar me aata hai toh aap usse palte nahi hain aap usse maar dete hain",Naseeruddin Shah,A Wednesday
"Do dost ek pyale mein chai piyenge … isse dosti badti hai",Salman Khan,Andaz Apna Apna
"Kitne aadmi the????",Amjad Khan,Sholay
"Doodh milega doodh bhaag",Farhan Akhtar,Bhaag Milkha Bhaag
"Khopdi tod iska",Paresh Rawal,Hera Pheri
"Sirf 70 minute hai tumhare paas",Shahrukh Khan,Chak de! India
"Tomatina festival chalte hain",Zindagi ek hi baar milti hai,Zindagi na milegi dobara
"Tujhe dekh atoh yeh jaana sanam",Kajol,Dilwale Dulhania Le Jayenge
"Beedi jalayele... jigar se piya",Ajay Devgn,Omkara
"Main sikhni hu punjab ki",Kareena Kapoor,Jab We Met
"Golimaar bheje mein",Manoj Bajpayee,Satya
"Shakal dekh kar bande ka sperm pehechan jaata hu",Ayushmann Khurana,Vicky Donor
"Main aisa kyun hu main waisa kyun hu",Hritik Roshan,Lakshya
"Idhar chala main udhar chala",Jaadoo,Koi mil Gaya
"trigger dabaya aur khel khallas",The Reality,Vaastav
"Jiyo khush raho muskurao",Preity Zinta,Kal ho na ho
"Arey diwano mujhe pehchano",Amitabh Bachchan,Don
"Asli power dil mein hoti hai",Akshay Kumar,Special 26
"Mera joota hai japani",Raj Kapoor,Shree 420
"Jab log tumhare khilaaf bolne lage samajhlo tarakki kar rahe ho",The teacher ,Guru
